iter	Passed	Remaining
668	6721	3325
669	6728	3314
670	6736	3302
671	6742	3291
672	6752	3281
673	6759	3269
674	6768	3258
675	6774	3246
676	6799	3244
677	6806	3232
678	6813	3221
679	6819	3209
680	6827	3198
681	6834	3186
682	6840	3175
683	6862	3170
684	6868	3158
685	6874	3146
686	6881	3135
687	6888	3123
688	6894	3112
689	6901	3100
690	6909	3089
691	6915	3078
692	6922	3066
693	6937	3058
694	6945	3047
695	6951	3036
696	6959	3025
697	6965	3013
698	6971	3001
699	6980	2991
700	6986	2979
701	6993	2968
702	7000	2957
703	7006	2946
704	7013	2934
705	7020	2923
706	7060	2925
707	7066	2914
708	7074	2903
709	7081	2892
710	7088	2881
711	7095	2869
712	7101	2858
713	7109	2847
714	7116	2836
715	7124	2825
716	7130	2814
717	7137	2803
718	7145	2792
719	7151	2781
720	7165	2772
721	7173	2761
722	7179	2750
723	7186	2739
724	7194	2728
725	7199	2717
726	7211	2708
727	7219	2697
728	7225	2686
729	7242	2678
730	7248	2667
731	7259	2657
732	7266	2646
733	7273	2635
734	7279	2624
735	7288	2614
736	7294	2603
737	7301	2592
738	7308	2581
739	7314	2569
740	7321	2559
741	7328	2548
742	7335	2537
743	7341	2526
744	7348	2515
745	7369	2509
746	7376	2498
747	7384	2487
748	7391	2476
749	7398	2466
750	7404	2455
751	7412	2444
752	7429	2436
753	7435	2426
754	7442	2415
755	7450	2404
756	7456	2393
757	7462	2382
758	7469	2371
759	7475	2360
760	7484	2350
761	7491	2339
762	7499	2329
763	7521	2323
764	7527	2312
765	7535	2301
766	7542	2291
767	7549	2280
768	7555	2269
769	7564	2259
770	7571	2248
771	7579	2238
772	7586	2227
773	7593	2217
774	7600	2206
775	7607	2195
776	7615	2185
777	7622	2175
778	7631	2164
779	7637	2154
780	7646	2144
781	7653	2133
782	7664	2124
783	7672	2113
784	7682	2103
785	7690	2093
786	7698	2083
787	7705	2073
788	7721	2065
789	7729	2054
790	7736	2044
791	7744	2033
792	7752	2023
793	7762	2013
794	7782	2006
795	7788	1996
796	7798	1986
797	7806	1975
798	7813	1965
799	7819	1954
800	7827	1944
801	7834	1934
802	7842	1924
803	7848	1913
804	7856	1903
805	7863	1892
806	7876	1883
807	7882	1873
808	7893	1863
809	7899	1853
810	7908	1843
811	7914	1832
812	7922	1822
813	7935	1813
814	7942	1802
815	7949	1792
816	7957	1782
817	7963	1771
818	7970	1761
819	7977	1751
820	7983	1740
821	7990	1730
822	7997	1720
823	8006	1710
824	8013	1699
825	8021	1689
826	8028	1679
827	8034	1668
828	8043	1659
829	8049	1648
830	8074	1642
831	8088	1633
832	8094	1622
833	8102	1612
834	8108	1602
835	8114	1591
836	8133	1584
837	8139	1573
838	8146	1563
839	8154	1553
840	8161	1542
841	8168	1532
842	8176	1522
843	8182	1512
844	8188	1502
845	8195	1491
846	8209	1482
847	8219	1473
848	8226	1463
849	8233	1453
850	8239	1442
851	8246	1432
852	8254	1422
853	8261	1412
854	8269	1402
855	8275	1392
856	8284	1382
857	8290	1372
858	8299	1362
859	8306	1352
860	8314	1342
861	8320	1332
862	8327	1321
863	8335	1312
864	8342	1301
865	8350	1292
866	8357	1282
867	8366	1272
868	8372	1262
869	8381	1252
870	8387	1242
871	8394	1232
872	8400	1222
873	8407	1212
874	8414	1202
875	8421	1192
876	8428	1182
877	8434	1172
878	8441	1161
879	8448	1152
880	8455	1142
881	8464	1132
882	8470	1122
883	8478	1112
884	8486	1102
885	8494	1093
886	8501	1083
887	8508	1073
888	8547	1067
889	8554	1057
890	8562	1047
891	8569	1037
892	8577	1027
893	8585	1017
894	8594	1008
895	8601	998
896	8610	988
897	8617	978
898	8623	968
899	8630	958
900	8636	948
901	8644	939
902	8653	929
903	8660	919
904	8667	909
905	8675	900
906	8683	890
907	8691	880
908	8697	870
909	8703	860
910	8711	851
911	8719	841
912	8726	831
913	8733	821
914	8743	812
915	8750	802
916	8758	792
917	8765	782
918	8773	773
919	8780	763
920	8789	753
921	8796	744
922	8805	734
923	8811	724
924	8818	715
925	8825	705
926	8831	695
927	8840	685
928	8846	676
929	8854	666
930	8861	656
931	8868	647
932	8874	637
933	8881	627
934	8890	618
935	8898	608
936	8923	599
937	8929	590
938	8938	580
939	8943	570
940	8951	561
941	8957	551
942	8963	541
943	8970	532
944	8978	522
945	8987	513
